Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,error_feedback.started,error_feedback.stopped,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_block.started,MAN_3.started,WOMAN_3.started,name_2.started,key_resp_3.started,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,pic_2.started,name_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,j,2.242127300007269,None,,,,0,0,0,0,,,,,0.041204300010576844,,0.032627200009301305,0.041204300010576844,0.041204300010576844,0.041204300010576844,0.041204300010576844,0.041204300010576844,0.041204300010576844,2.304702200111933,j,2.242127300007269,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,1,j,0.9160994000267237,None,,,,1,1,1,0,,,,,2.3271068000467494,,2.3208523000357673,2.3271068000467494,2.3271068000467494,2.3271068000467494,2.3271068000467494,2.3271068000467494,2.3271068000467494,3.247759100049734,j,0.9160994000267237,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,0,k,0.6638103000586852,None,,,,0,2,2,1,,,,,3.278363100020215,,3.272892100038007,3.278363100020215,3.278363100020215,3.278363100020215,3.278363100020215,3.278363100020215,3.278363100020215,3.9477391000837088,k,0.6638103000586852,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,3,3,2,k,0.36913079989608377,None,,,,2,3,3,0,,,,,3.9708935000235215,,3.965516300057061,3.9708935000235215,3.9708935000235215,3.9708935000235215,3.9708935000235215,3.9708935000235215,3.9708935000235215,4.346458900021389,k,0.36913079989608377,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,4,4,3,k,0.48868129996117204,None,,,,3,4,4,0,,,,,4.370861600036733,,4.364548600045964,4.370861600036733,4.370861600036733,4.370861600036733,4.370861600036733,4.370861600036733,4.370861600036733,4.8641650000354275,k,0.48868129996117204,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,5,5,4,k,0.1936812000349164,None,,,,4,5,5,0,,,,,4.886467200005427,,4.880381599999964,4.886467200005427,4.886467200005427,4.886467200005427,4.886467200005427,4.886467200005427,4.886467200005427,5.080927400034852,k,0.1936812000349164,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,1,k,0.12099240010138601,None,,,,1,6,6,1,,,,,5.106474700034596,,5.100245400099084,5.106474700034596,5.106474700034596,5.106474700034596,5.106474700034596,5.106474700034596,5.106474700034596,5.229453100007959,k,0.12099240010138601,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,7,7,2,k,0.1404457000317052,None,,,,2,7,7,1,,,,,5.253315400099382,,5.24776090006344,5.253315400099382,5.253315400099382,5.253315400099382,5.253315400099382,5.253315400099382,5.253315400099382,5.396685900050215,k,0.1404457000317052,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,8,8,5,k,0.111360999988392,None,,,,5,8,8,0,,,,,5.421509000007063,,5.415179200004786,5.421509000007063,5.421509000007063,5.421509000007063,5.421509000007063,5.421509000007063,5.421509000007063,5.546901700086892,k,0.111360999988392,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,9,9,6,j,0.1887402000138536,None,,,,6,9,9,0,,,,,5.569024600088596,,5.56458050000947,5.569024600088596,5.569024600088596,5.569024600088596,5.569024600088596,5.569024600088596,5.569024600088596,5.763173400075175,j,0.1887402000138536,None,,,,,,,,,,,,065548,001,2025-09-25_16h31.20.300,Priming_gender,,2025.1.1,60.09485371178165,2025-09-25 16h31.23.027200 +0700,
