Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,WOMAN_3_desc.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,Ending.started,Ending.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0731000000378117,0.094543999992311,0.094543999992311,0.9812925000442192,space,0.8579654999775812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,0,0,0,j,0.5157125999685377,None,,,,0,0,0,0,,,,,1.011690799961798,,,,,,,,,1.0019384999759495,1.011690799961798,1.011690799961798,1.011690799961798,1.011690799961798,1.5303919999860227,j,0.5157125999685377,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,1,1,1,k,0.07813469995744526,None,,,,1,1,1,0,,,,,1.561559799942188,,,,,,,,,1.5434353000018746,1.561559799942188,1.561559799942188,1.561559799942188,1.561559799942188,1.6448269999818876,k,0.07813469995744526,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,2,2,2,j,0.04430179996415973,None,,,,2,2,2,0,,,,,1.6780199999921024,,,,,,,,,1.6577255999436602,1.6780199999921024,1.6780199999921024,1.6780199999921024,1.6780199999921024,1.7290610999334604,j,0.04430179996415973,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,3,3,0,k,0.050209600012749434,None,,,,0,3,3,1,,,,,1.7626974999438971,,,,,,,,,1.742357000010088,1.7626974999438971,1.7626974999438971,1.7626974999438971,1.7626974999438971,1.8289130999473855,k,0.050209600012749434,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,4,4,3,j,0.017583100008778274,None,,,,3,4,4,0,,,,,1.8624584999633953,,,,,,,,,1.842371999984607,1.8624584999633953,1.8624584999633953,1.8624584999633953,1.8624584999633953,1.9117286000400782,j,0.017583100008778274,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,5,5,4,k,0.032147199963219464,None,,,,4,5,5,0,,,,,1.9449421999743208,,,,,,,,,1.9249431999633089,1.9449421999743208,1.9449421999743208,1.9449421999743208,1.9449421999743208,1.9783960999920964,k,0.032147199963219464,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,6,6,1,j,0.01081590005196631,None,,,,1,6,6,1,,,,,2.0115323000354692,,,,,,,,,1.9917878999840468,2.0115323000354692,2.0115323000354692,2.0115323000354692,2.0115323000354692,2.045149500016123,j,0.01081590005196631,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,7,7,2,k,0.04921890003606677,None,,,,2,7,7,1,,,,,2.0781150000402704,,,,,,,,,2.0582083000335842,2.0781150000402704,2.0781150000402704,2.0781150000402704,2.0781150000402704,2.129915199941024,k,0.04921890003606677,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,8,8,3,j,0.00964079995173961,None,,,,3,8,8,1,,,,,2.162731399992481,,,,,,,,,2.1433651000261307,2.162731399992481,2.162731399992481,2.162731399992481,2.162731399992481,2.1783513999544084,j,0.00964079995173961,None,,,,,,,,,,,,,,,,,,,,,,,208194,001,2025-09-26_06h03.42.476,Priming_gender,,2025.1.1,60.01644449127052,2025-09-26 06h03.46.333914 +0700,
