Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,WOMAN_3_desc.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008541199960745871,0.019285399932414293,0.019285399932414293,2.6411228999495506,space,2.614263799972832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,0,0,0,j,0.9689439999638125,None,,,,0,0,0,1,,,,,2.6925421999767423,,,,,,,,,2.6818348999368027,2.6925421999767423,2.6925421999767423,2.6925421999767423,2.6925421999767423,3.6679016000125557,j,0.9689439999638125,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,1,1,0,k,0.16938340000342578,None,,,,0,1,1,0,,,,,3.705918599967845,,,,,,,,,3.6971382999327034,3.705918599967845,3.705918599967845,3.705918599967845,3.705918599967845,3.8851295999484137,k,0.16938340000342578,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,2,2,1,k,0.20132880005985498,None,,,,1,2,2,1,,,,,3.9220870999852195,,,,,,,,,3.913647299981676,3.9220870999852195,3.9220870999852195,3.9220870999852195,3.9220870999852195,4.133850399986841,k,0.20132880005985498,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,3,3,1,j,0.08146279992070049,None,,,,1,3,3,0,,,,,4.171869899961166,,,,,,,,,4.162542499951087,4.171869899961166,4.171869899961166,4.171869899961166,4.171869899961166,4.268560700002126,j,0.08146279992070049,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,4,4,2,k,0.04300249996595085,None,,,,2,4,4,0,,,,,4.30625359993428,,,,,,,,,4.297423799987882,4.30625359993428,4.30625359993428,4.30625359993428,4.30625359993428,4.351593800005503,k,0.04300249996595085,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,5,5,2,j,0.046542400028556585,None,,,,2,5,5,1,,,,,4.389399999985471,,,,,,,,,4.380688500008546,4.389399999985471,4.389399999985471,4.389399999985471,4.389399999985471,4.450111399986781,j,0.046542400028556585,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,6,6,3,k,0.05494050006382167,None,,,,3,6,6,0,,,,,4.4877317999489605,,,,,,,,,4.478942799963988,4.4877317999489605,4.4877317999489605,4.4877317999489605,4.4877317999489605,4.550633699982427,k,0.05494050006382167,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,7,7,4,j,0.051662800018675625,None,,,,4,7,7,0,,,,,4.5869516000384465,,,,,,,,,4.578237899928354,4.5869516000384465,4.5869516000384465,4.5869516000384465,4.5869516000384465,4.650111699942499,j,0.051662800018675625,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,8,8,3,k,0.06140340003184974,None,,,,3,8,8,1,,,,,4.687216899939813,,,,,,,,,4.67839949997142,4.687216899939813,4.687216899939813,4.687216899939813,4.687216899939813,4.751353899948299,k,0.06140340003184974,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,9,9,4,j,0.05370499996934086,None,,,,4,9,9,1,,,,,4.787495099939406,,,,,,,,,4.7792922999942675,4.787495099939406,4.787495099939406,4.787495099939406,4.787495099939406,4.8521819999441504,j,0.05370499996934086,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,10,10,5,k,0.059854499995708466,None,,,,5,10,10,0,,,,,4.888994100037962,,,,,,,,,4.880283999955282,4.888994100037962,4.888994100037962,4.888994100037962,4.888994100037962,4.951664199936204,k,0.059854499995708466,None,,,,,,,,,,,,,,,,,,,,,239407,001,2025-09-26_10h24.26.445,Priming_gender,,2025.1.1,60.20331862590803,2025-09-26 10h24.32.979735 +0700,
