Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,Instructions.started,instruction_slide.started,instruction_continue.started,Instructions.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_block.started,MAN_3.started,WOMAN_3.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.005791999981738627,0.012968599912710488,0.012968599912710488,1.5993419999722391,space,1.5741175001021475,None,,,,,,,,,,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,j,3.12977050000336,None,,,,0,0,0,0,,,,,1.629720599972643,,,,,,,,,1.6214885999215767,1.629720599972643,1.629720599972643,1.629720599972643,1.629720599972643,4.762687199981883,j,3.12977050000336,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,1,1,0,k,0.6575366000179201,None,,,,0,1,1,1,,,,,4.785761599894613,,,,,,,,,4.780082799959928,4.785761599894613,4.785761599894613,4.785761599894613,4.785761599894613,5.445435799891129,k,0.6575366000179201,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,1,j,0.542521100025624,None,,,,1,2,2,1,,,,,5.469149499898776,,,,,,,,,5.463955399929546,5.469149499898776,5.469149499898776,5.469149499898776,5.469149499898776,6.028504299931228,j,0.542521100025624,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,2,j,0.5924262000480667,None,,,,2,3,3,1,,,,,6.051412799977697,,,,,,,,,6.046235399902798,6.051412799977697,6.051412799977697,6.051412799977697,6.051412799977697,6.645649799960665,j,0.5924262000480667,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,4,4,3,k,0.19358660001307726,None,,,,3,4,4,1,,,,,6.6711859999923036,,,,,,,,,6.666312599903904,6.6711859999923036,6.6711859999923036,6.6711859999923036,6.6711859999923036,6.8783294999739155,k,0.19358660001307726,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,4,k,0.1477053000126034,None,,,,4,5,5,1,,,,,6.900877699954435,,,,,,,,,6.896149599924684,6.900877699954435,6.900877699954435,6.900877699954435,6.900877699954435,7.06210199999623,k,0.1477053000126034,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,6,6,1,k,0.15679969999473542,None,,,,1,6,6,0,,,,,7.08556849998422,,,,,,,,,7.080601099994965,7.08556849998422,7.08556849998422,7.08556849998422,7.08556849998422,7.245041499962099,k,0.15679969999473542,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,7,7,2,j,0.15788019995670766,None,,,,2,7,7,0,,,,,7.268324599950574,,,,,,,,,7.263259599916637,7.268324599950574,7.268324599950574,7.268324599950574,7.268324599950574,7.4291672999970615,j,0.15788019995670766,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,5,k,0.16039119998458773,None,,,,5,8,8,1,,,,,7.452405999996699,,,,,,,,,7.447568199946545,7.452405999996699,7.452405999996699,7.452405999996699,7.452405999996699,7.628450499963947,k,0.16039119998458773,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,9,9,3,j,0.14922039990779012,None,,,,3,9,9,0,,,,,7.652068699942902,,,,,,,,,7.647337000002153,7.652068699942902,7.652068699942902,7.652068699942902,7.652068699942902,7.811600899905898,j,0.14922039990779012,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,10,4,k,0.1458130000391975,None,,,,4,10,10,0,,,,,7.834623799892142,,,,,,,,,7.829747299896553,7.834623799892142,7.834623799892142,7.834623799892142,7.834623799892142,7.995093499892391,k,0.1458130000391975,None,,,,,,,,,,,,314513,001,2025-09-25_17h11.35.257,Priming_gender,,2025.1.1,60.013743112089394,2025-09-25 17h11.38.523931 +0700,
