Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,name_2.started,key_resp_3.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.07561930001247674,0.10339820000808686,0.10339820000808686,3.721760999993421,space,3.5009432999650016,None,,,,,,,,,,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,k,1.136561100021936,None,0,0,0,0,,,,,3.770201599923894,,,,,,,,,3.753270099987276,3.770201599923894,3.770201599923894,3.770201599923894,3.770201599923894,4.920442699920386,k,1.136561100021936,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,1,k,0.12574269995093346,None,1,1,1,0,,,,,4.953613399993628,,,,,,,,,4.937427000026219,4.953613399993628,4.953613399993628,4.953613399993628,4.953613399993628,5.087157499976456,k,0.12574269995093346,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,2,2,2,k,0.10901559994090348,None,2,2,2,0,,,,,5.120243099983782,,,,,,,,,5.102202399983071,5.120243099983782,5.120243099983782,5.120243099983782,5.120243099983782,5.237427599960938,k,0.10901559994090348,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,0,k,0.3124076999956742,None,0,3,3,1,,,,,5.26998400001321,,,,,,,,,5.260565900010988,5.26998400001321,5.26998400001321,5.26998400001321,5.26998400001321,5.587011800031178,k,0.3124076999956742,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,4,4,1,j,0.23205120000056922,None,1,4,4,1,,,,,5.6200250999536365,,,,,,,,,5.602638399926946,5.6200250999536365,5.6200250999536365,5.6200250999536365,5.6200250999536365,5.853751900023781,j,0.23205120000056922,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,2,j,0.11508130002766848,None,2,5,5,1,,,,,5.88674759992864,,,,,,,,,5.8719665999524295,5.88674759992864,5.88674759992864,5.88674759992864,5.88674759992864,6.003725599963218,j,0.11508130002766848,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,3,k,0.11549009999725968,None,3,6,6,1,,,,,6.036625499953516,,,,,,,,,6.018872799933888,6.036625499953516,6.036625499953516,6.036625499953516,6.036625499953516,6.15348959993571,k,0.11549009999725968,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,7,7,4,j,0.10026980005204678,None,4,7,7,1,,,,,6.186633899924345,,,,,,,,,6.168517799931578,6.186633899924345,6.186633899924345,6.186633899924345,6.186633899924345,6.303515199921094,j,0.10026980005204678,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,5,k,0.054885299992747605,None,5,8,8,1,,,,,6.337152999942191,,,,,,,,,6.318753400002606,6.337152999942191,6.337152999942191,6.337152999942191,6.337152999942191,6.4035559999756515,k,0.054885299992747605,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,9,9,3,j,0.04493999993428588,None,3,9,9,0,,,,,6.436948099988513,,,,,,,,,6.418770699994639,6.436948099988513,6.436948099988513,6.436948099988513,6.436948099988513,6.487121399957687,j,0.04493999993428588,None,,,,,,,,,,,,,,347510,001,2025-09-26_05h05.57.533,Priming_gender,,2025.1.1,59.99646016792736,2025-09-26 05h06.01.101892 +0700,
