Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,error_feedback.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,0,0,0,j,4.233536599902436,None,0,0,0,1,0.1329771000891924,,0.030354600050486624,0.1329771000891924,0.1329771000891924,0.1329771000891924,0.1329771000891924,0.1329771000891924,4.3722257000627,j,4.233536599902436,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,1,1,1,j,1.618085499969311,None,1,1,1,1,4.39590160001535,,4.389300100039691,4.39590160001535,4.39590160001535,4.39590160001535,4.39590160001535,4.39590160001535,6.019000900094397,j,1.618085499969311,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,2,2,0,k,0.33323730004485697,None,0,2,2,0,6.042582500027493,,6.036729000043124,6.042582500027493,6.042582500027493,6.042582500027493,6.042582500027493,6.042582500027493,6.385737300035544,k,0.33323730004485697,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,2,k,0.17556130001321435,None,2,3,3,1,6.4094106000848114,,6.403729100013152,6.4094106000848114,6.4094106000848114,6.4094106000848114,6.4094106000848114,6.4094106000848114,6.586181199993007,k,0.17556130001321435,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,4,4,3,k,0.10100839997176081,None,3,4,4,1,6.609756199992262,,6.6041241000639275,6.609756199992262,6.609756199992262,6.609756199992262,6.609756199992262,6.609756199992262,6.719420999987051,k,0.10100839997176081,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,5,5,1,k,0.15245229995343834,None,1,5,5,0,6.7423269000137225,,6.737063400098123,6.7423269000137225,6.7423269000137225,6.7423269000137225,6.7423269000137225,6.7423269000137225,6.902654700097628,k,0.15245229995343834,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,6,6,2,j,0.09223509998992085,None,2,6,6,0,6.925404899986461,,6.919763300102204,6.925404899986461,6.925404899986461,6.925404899986461,6.925404899986461,6.925404899986461,7.018882000003941,j,0.09223509998992085,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,7,7,4,j,0.2685050000436604,None,4,7,7,1,7.04243930010125,,7.036330400034785,7.04243930010125,7.04243930010125,7.04243930010125,7.04243930010125,7.04243930010125,7.319168700021692,j,0.2685050000436604,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,5,k,0.15101999999023974,None,5,8,8,1,7.342923399992287,,7.337542799999937,7.342923399992287,7.342923399992287,7.342923399992287,7.342923399992287,7.342923399992287,7.50258530001156,k,0.15101999999023974,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,9,9,3,j,0.12602710002101958,None,3,9,9,0,7.5257526000496,,7.520220200065523,7.5257526000496,7.5257526000496,7.5257526000496,7.5257526000496,7.5257526000496,7.66917640005704,j,0.12602710002101958,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,10,6,k,0.09490690007805824,None,6,10,10,1,7.691245800000615,,7.68611630005762,7.691245800000615,7.691245800000615,7.691245800000615,7.691245800000615,7.691245800000615,7.802804500097409,k,0.09490690007805824,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,11,11,7,j,0.05358409998007119,None,7,11,11,1,7.8273550000740215,,7.82119730010163,7.8273550000740215,7.8273550000740215,7.8273550000740215,7.8273550000740215,7.8273550000740215,7.885567000019364,j,0.05358409998007119,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,12,12,8,k,0.10635030001867563,None,8,12,12,1,7.90834950003773,,7.902404900058173,7.90834950003773,7.90834950003773,7.90834950003773,7.90834950003773,7.90834950003773,8.018819799995981,k,0.10635030001867563,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,13,13,4,j,0.03819270001258701,None,4,13,13,0,8.041821200051345,,8.037220600061119,8.041821200051345,8.041821200051345,8.041821200051345,8.041821200051345,8.041821200051345,8.086190300062299,j,0.03819270001258701,None,359046,001,2025-09-25_16h31.59.264,Priming_gender,,2025.1.1,59.97764031904251,2025-09-25 16h32.01.552710 +0700,
