Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09648579999338835,0.11737440002616495,0.11737440002616495,0.7034621000057086,space,0.5674679999938235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,0,0,0,j,0.9157871000934392,None,,,,0,0,0,1,,,,,0.7339845000533387,,,,,,,,,0.7268934999592602,0.7339845000533387,0.7339845000533387,0.7339845000533387,0.7339845000533387,1.65107529994566,j,0.9157871000934392,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,1,1,1,k,0.07036710006650537,None,,,,1,1,1,1,,,,,1.684093900024891,,,,,,,,,1.6642625000094995,1.684093900024891,1.684093900024891,1.684093900024891,1.684093900024891,1.7675062000053003,k,0.07036710006650537,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,2,2,2,j,0.04403739992994815,None,,,,2,2,2,1,,,,,1.8005647000391036,,,,,,,,,1.7807904999936,1.8005647000391036,1.8005647000391036,1.8005647000391036,1.8005647000391036,1.8511074000271037,j,0.04403739992994815,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,3,3,0,k,0.05058799998369068,None,,,,0,3,3,0,,,,,1.8841586000053212,,,,,,,,,1.8640575000317767,1.8841586000053212,1.8841586000053212,1.8841586000053212,1.8841586000053212,1.9511304999468848,k,0.05058799998369068,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,4,4,1,j,0.018087100004777312,None,,,,1,4,4,0,,,,,1.9841685000574216,,,,,,,,,1.9650596999563277,1.9841685000574216,1.9841685000574216,1.9841685000574216,1.9841685000574216,2.0195803999667987,j,0.018087100004777312,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,5,5,2,k,0.04888100002426654,None,,,,2,5,5,0,,,,,2.050801399978809,,,,,,,,,2.0334566000383347,2.050801399978809,2.050801399978809,2.050801399978809,2.050801399978809,2.100842699990608,k,0.04888100002426654,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,6,6,3,j,0.01835120003670454,None,,,,3,6,6,0,,,,,2.1339544999646023,,,,,,,,,2.114564000046812,2.1339544999646023,2.1339544999646023,2.1339544999646023,2.1339544999646023,2.167521100025624,j,0.01835120003670454,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,7,7,4,k,0.056590699939988554,None,,,,4,7,7,0,,,,,2.20062090002466,,,,,,,,,2.1805698999669403,2.20062090002466,2.20062090002466,2.20062090002466,2.20062090002466,2.2675382000161335,k,0.056590699939988554,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,8,8,5,j,0.016601799987256527,None,,,,5,8,8,0,,,,,2.300576000008732,,,,,,,,,2.281216899980791,2.300576000008732,2.300576000008732,2.300576000008732,2.300576000008732,2.318974700057879,j,0.016601799987256527,None,,,,,,,,,,,,,,,,,,,,585513,001,2025-09-26_05h56.28.333,Priming_gender,,2025.1.1,59.44921494115152,2025-09-26 05h56.31.512684 +0700,
