Male,Female,Image,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,men_pic.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,training_block_female.started,MAN_2.started,WOMAN_2.started,Fname.started,female_pic.started,key_resp_2.started,training_block_female.stopped,training.key_resp_2.keys,training.key_resp_2.rt,training.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
ภูมิพัฒน์,จิตติมา,None,0,0,0,j,2.4977442000526935,None,k,0.6997349000303075,None,0,0,0,6,0.051510200020857155,,0.022569700027815998,0.051510200020857155,0.051510200020857155,0.051510200020857155,0.051510200020857155,0.051510200020857155,2.561844200012274,j,2.4977442000526935,None,2.568576700054109,2.578295400016941,2.578295400016941,2.578295400016941,2.578295400016941,2.578295400016941,3.2928917000535876,k,0.6997349000303075,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
อรรถพล,สุพัตรา,None,1,1,0,j,0.3145555999362841,None,k,0.25307850004173815,None,0,1,1,3,3.3097770999884233,,3.299406799953431,3.3097770999884233,3.3097770999884233,3.3097770999884233,3.3097770999884233,3.3097770999884233,3.6266822000034153,j,0.3145555999362841,None,3.63038820005022,3.6429907999699935,3.6429907999699935,3.6429907999699935,3.6429907999699935,3.6429907999699935,3.9090055000269786,k,0.25307850004173815,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
ศักดิ์สิทธิ์,สุนิสา,None,2,2,0,j,0.20321470010094345,None,k,0.2083132000407204,None,0,2,2,8,3.9257663999451324,,3.9168995999498293,3.9257663999451324,3.9257663999451324,3.9257663999451324,3.9257663999451324,3.9257663999451324,4.142759499954991,j,0.20321470010094345,None,4.143671400030144,4.159070000052452,4.159070000052452,4.159070000052452,4.159070000052452,4.159070000052452,4.37628520000726,k,0.2083132000407204,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
พิสิฐ,ปัทมา,None,3,3,0,j,0.1779415999772027,None,k,0.14638389996252954,None,0,3,3,9,4.392788599943742,,4.3792003999697044,4.392788599943742,4.392788599943742,4.392788599943742,4.392788599943742,4.392788599943742,4.574797300039791,j,0.1779415999772027,None,4.578594799968414,4.593606499955058,4.593606499955058,4.593606499955058,4.593606499955058,4.593606499955058,4.742689999984577,k,0.14638389996252954,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
ปริญญา,อาภรณ์,None,4,4,0,j,0.09847309999167919,None,k,0.7385169999906793,None,0,4,4,5,4.759372500004247,,4.746199700050056,4.759372500004247,4.759372500004247,4.759372500004247,4.759372500004247,4.759372500004247,4.859386899974197,j,0.09847309999167919,None,4.86199620005209,4.875703600002453,4.875703600002453,4.875703600002453,4.875703600002453,4.875703600002453,5.626398400054313,k,0.7385169999906793,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
วรพล,วรรณา,None,5,5,0,k,0.30278550006914884,None,k,0.1369573000119999,None,0,5,5,7,5.643069899990223,,5.629357400001027,5.643069899990223,5.643069899990223,5.643069899990223,5.643069899990223,5.643069899990223,5.958596699987538,k,0.30278550006914884,None,5.959010699996725,5.975444999989122,5.975444999989122,5.975444999989122,5.975444999989122,5.975444999989122,6.125657199998386,k,0.1369573000119999,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
นเรศ,พิมพ์ใจ,women.png,6,6,0,k,0.11427709995768964,None,k,0.11119819991290569,None,0,6,6,1,6.14268169994466,,6.127645200002007,6.14268169994466,6.14268169994466,6.14268169994466,6.14268169994466,6.14268169994466,6.25863129994832,k,0.11427709995768964,None,6.26123419997748,6.276760400040075,6.276760400040075,6.276760400040075,6.276760400040075,6.276760400040075,6.3926101999823,k,0.11119819991290569,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
ชัยวัฒน์,ศิริพร,None,7,7,0,k,0.11437259998638183,None,k,0.2151074999710545,None,0,7,7,4,6.410670000012033,,6.397099300054833,6.410670000012033,6.410670000012033,6.410670000012033,6.410670000012033,6.410670000012033,6.526226700050756,k,0.11437259998638183,None,6.526848100009374,6.542162399971858,6.542162399971858,6.542162399971858,6.542162399971858,6.542162399971858,6.75875050004106,k,0.2151074999710545,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
กฤษณะ,กาญจนา,men.png,8,8,0,k,0.23522119992412627,None,j,0.12172249995637685,None,0,8,8,0,6.776263599982485,,6.763547600014135,6.776263599982485,6.776263599982485,6.776263599982485,6.776263599982485,6.776263599982485,7.026098500005901,k,0.23522119992412627,None,7.02654099999927,7.041333299945109,7.041333299945109,7.041333299945109,7.041333299945109,7.041333299945109,7.175259000039659,j,0.12172249995637685,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
ธนพล,วาสนา,None,9,9,0,k,0.27569210005458444,None,j,0.11689250008203089,None,0,9,9,2,7.1919617999810725,,7.176017399993725,7.1919617999810725,7.1919617999810725,7.1919617999810725,7.1919617999810725,7.1919617999810725,7.476708499947563,k,0.27569210005458444,None,7.477542200009339,7.492544800043106,7.492544800043106,7.492544800043106,7.492544800043106,7.492544800043106,7.6254900000058115,j,0.11689250008203089,None,688385,001,2025-09-25_15h13.38.789,Priming_gender,,2025.1.1,59.28578417208824,2025-09-25 15h13.43.695141 +0700,
