Male,Female,Image,Name,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
กฤษณะ,กาญจนา,men.png,กฤษณะ,0,0,0,k,0.8921518999850377,None,0,0,0,0,0.03306499996688217,,0.0270615000044927,0.03306499996688217,0.03306499996688217,0.03306499996688217,0.03306499996688217,0.9369752999627963,k,0.8921518999850377,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,1,1,0,j,0.24488959996961057,None,0,1,1,1,0.9602531000273302,,0.9547329000197351,0.9602531000273302,0.9602531000273302,0.9602531000273302,0.9602531000273302,1.216986499959603,j,0.24488959996961057,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,2,0,1,k,0.19535209995228797,None,1,0,2,0,1.2410272000124678,,1.2347079999744892,1.2410272000124678,1.2410272000124678,1.2410272000124678,1.2410272000124678,1.4507471999386325,k,0.19535209995228797,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,3,1,1,j,0.17188899999018759,None,1,1,3,1,1.4748772999737412,,1.4693565999623388,1.4748772999737412,1.4748772999737412,1.4748772999737412,1.4748772999737412,1.6502968999557197,j,0.17188899999018759,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,4,0,2,k,0.1837414000183344,None,2,0,4,0,1.6739263000199571,,1.6681735999882221,1.6739263000199571,1.6739263000199571,1.6739263000199571,1.6739263000199571,1.8664893000386655,k,0.1837414000183344,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,5,1,2,j,0.1842227999586612,None,2,1,5,1,1.8900498999282718,,1.8841779000358656,1.8900498999282718,1.8900498999282718,1.8900498999282718,1.8900498999282718,2.0827019999269396,j,0.1842227999586612,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,6,0,3,k,0.09107990004122257,None,3,0,6,0,2.1039742999710143,,2.0992360999807715,2.1039742999710143,2.1039742999710143,2.1039742999710143,2.1039742999710143,2.1994954999536276,k,0.09107990004122257,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,7,1,3,j,0.10258289997000247,None,3,1,7,1,2.22088649997022,,2.216121800011024,2.22088649997022,2.22088649997022,2.22088649997022,2.22088649997022,2.3327823999570683,j,0.10258289997000247,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,8,0,4,k,0.14876189990900457,None,4,0,8,1,2.3548526000231504,,2.349837900022976,2.3548526000231504,2.3548526000231504,2.3548526000231504,2.3548526000231504,2.5156378999818116,k,0.14876189990900457,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,9,1,4,j,0.07852889993228018,None,4,1,9,0,2.5382129999343306,,2.5334156999597326,2.5382129999343306,2.5382129999343306,2.5382129999343306,2.5382129999343306,2.6324303000001237,j,0.07852889993228018,None,690177,001,2025-09-25_15h36.35.910,Priming_gender,,2025.1.1,60.08434640422145,2025-09-25 15h36.40.613970 +0700,
