Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_block.started,MAN_3.started,WOMAN_3.started,name_2.started,key_resp_3.started,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,pic_2.started,name_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,j,1.5397905999561772,None,,,,0,0,0,0,,,,,0.037100200075656176,,0.02881420007906854,0.037100200075656176,0.037100200075656176,0.037100200075656176,0.037100200075656176,1.58267470006831,j,1.5397905999561772,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,1,1,0,j,0.4561147999484092,None,,,,0,1,1,1,,,,,1.6070973000023514,,1.6005875000264496,1.6070973000023514,1.6070973000023514,1.6070973000023514,1.6070973000023514,2.0639194000978023,j,0.4561147999484092,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,1,j,0.4039260999998078,None,,,,1,2,2,1,,,,,2.0873270999873057,,2.0812628000276163,2.0873270999873057,2.0873270999873057,2.0873270999873057,2.0873270999873057,2.4957053000107408,j,0.4039260999998078,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,2,j,0.20209210005123168,None,,,,2,3,3,1,,,,,2.5197104000253603,,2.513376499991864,2.5197104000253603,2.5197104000253603,2.5197104000253603,2.5197104000253603,2.728574400069192,j,0.20209210005123168,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,4,4,3,k,0.4879382000071928,None,,,,3,4,4,1,,,,,2.7511541000567377,,2.7466262000380084,2.7511541000567377,2.7511541000567377,2.7511541000567377,2.7511541000567377,3.2451916000572965,k,0.4879382000071928,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,4,k,0.38996990001760423,None,,,,4,5,5,1,,,,,3.2685567000880837,,3.263931900030002,3.2685567000880837,3.2685567000880837,3.2685567000880837,3.2685567000880837,3.6622371000703424,k,0.38996990001760423,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,5,k,0.16671230003703386,None,,,,5,6,6,1,,,,,3.683651000028476,,3.678603300009854,3.683651000028476,3.683651000028476,3.683651000028476,3.683651000028476,3.862130200024694,k,0.16671230003703386,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,7,7,1,j,0.261318999924697,None,,,,1,7,7,0,,,,,3.884415000095032,,3.879697800031863,3.884415000095032,3.884415000095032,3.884415000095032,3.884415000095032,4.162534700008109,j,0.261318999924697,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,6,j,0.12749410001561046,None,,,,6,8,8,1,,,,,4.185966000077315,,4.180957400007173,4.185966000077315,4.185966000077315,4.185966000077315,4.185966000077315,4.3292540000984445,j,0.12749410001561046,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,9,9,2,j,0.0926260999403894,None,,,,2,9,9,0,,,,,4.352127299993299,,4.347441600053571,4.352127299993299,4.352127299993299,4.352127299993299,4.352127299993299,4.446230200002901,j,0.0926260999403894,None,,,,,,,,,,,,693796,001,2025-09-25_16h33.10.614,Priming_gender,,2025.1.1,59.98699479033564,2025-09-25 16h33.12.887281 +0700,
