Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,feedback_training.started,feedback_training.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,j,1.1033208000008017,None,0,0,0,0,0.04680399992503226,,0.03984639991540462,0.04680399992503226,0.04680399992503226,0.04680399992503226,0.04680399992503226,1.1620994999539107,j,1.1033208000008017,None,1.1621892999392003,1.1622869999846444,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,1,j,1.155253199976869,None,1,1,1,0,1.1872516999719664,,1.1800236999988556,1.1872516999719664,1.1872516999719664,1.1872516999719664,1.1872516999719664,2.358059099991806,j,1.155253199976869,None,2.358143499935977,2.3582369999494404,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,0,j,1.1735339999431744,None,0,2,2,1,2.393541599973105,,2.379612599965185,2.393541599973105,2.393541599973105,2.393541599973105,2.393541599973105,3.5741822000127286,j,1.1735339999431744,None,3.574235999956727,3.5742816999554634,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,1,k,0.4969770999159664,None,1,3,3,1,3.61052549991291,,3.5988486999413,3.61052549991291,3.61052549991291,3.61052549991291,3.61052549991291,4.108515599975362,k,0.4969770999159664,None,4.108593999990262,4.591698699980043,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,4,4,2,k,0.6825173000106588,None,2,4,4,0,4.6150692999362946,,4.610208599944599,4.6150692999362946,4.6150692999362946,4.6150692999362946,4.6150692999362946,5.3076151999412104,k,0.6825173000106588,None,5.307700900011696,5.790906499954872,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,5,5,3,k,1.9157175000291318,None,3,5,5,0,5.814223499968648,,5.809099599951878,5.814223499968648,5.814223499968648,5.814223499968648,5.814223499968648,7.740904700011015,k,1.9157175000291318,None,7.740994799998589,8.224492499954067,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,2,j,0.24886299995705485,None,2,6,6,1,8.248939599958248,,8.243202799931169,8.248939599958248,8.248939599958248,8.248939599958248,8.248939599958248,8.507659900002182,j,0.24886299995705485,None,8.507743999944068,8.507832699920982,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,7,7,3,j,1.2329749000491574,None,3,7,7,1,8.531571200001054,,8.526043599937111,8.531571200001054,8.531571200001054,8.531571200001054,8.531571200001054,9.774337399983779,j,1.2329749000491574,None,9.774422699934803,9.774513099924661,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,4,j,0.4853694000048563,None,4,8,8,1,9.80051609990187,,9.793188099982217,9.80051609990187,9.80051609990187,9.80051609990187,9.80051609990187,10.290692399954423,j,0.4853694000048563,None,10.290777699905448,10.29086870001629,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,9,9,5,k,0.2541932000312954,None,5,9,9,1,10.318251699907705,,10.31326490000356,10.318251699907705,10.318251699907705,10.318251699907705,10.318251699907705,10.57411049993243,k,0.2541932000312954,None,10.57419720001053,11.057594500016421,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,10,4,k,0.20207640004809946,None,4,10,10,0,11.081033099908382,,11.076045299996622,11.081033099908382,11.081033099908382,11.081033099908382,11.081033099908382,11.290770099963993,k,0.20207640004809946,None,11.290821500006132,11.773425299907103,731253,001,2025-09-25_16h44.41.415,Priming_gender,,2025.1.1,59.95473419394903,2025-09-25 16h44.44.449250 +0700,
