Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.008321600034832954,0.028091000043787062,0.028091000043787062,0.8308357000350952,space,0.775540699949488,None,,,,,,,,,,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,0,0,0,j,1.3005977000575513,None,0,0,0,1,,,,,0.9048324000323191,,,,,,,,,0.8843535999767482,0.9048324000323191,0.9048324000323191,0.9048324000323191,0.9048324000323191,2.2067963000154123,j,1.3005977000575513,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,1,1,1,k,0.4075975999003276,None,1,1,1,1,,,,,2.24419720005244,,,,,,,,,2.233944399980828,2.24419720005244,2.24419720005244,2.24419720005244,2.24419720005244,2.6574486000463367,k,0.4075975999003276,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,2,2,0,k,0.3473195000551641,None,0,2,2,0,,,,,2.7141344000119716,,,,,,,,,2.7057743000332266,2.7141344000119716,2.7141344000119716,2.7141344000119716,2.7141344000119716,3.073533699964173,k,0.3473195000551641,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,3,3,1,k,0.104241699911654,None,1,3,3,0,,,,,3.1099439000245184,,,,,,,,,3.1008357000537217,3.1099439000245184,3.1099439000245184,3.1099439000245184,3.1099439000245184,3.223643400007859,k,0.104241699911654,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,4,4,2,k,0.09536850010044873,None,2,4,4,0,,,,,3.259223200031556,,,,,,,,,3.250445000012405,3.259223200031556,3.259223200031556,3.259223200031556,3.259223200031556,3.3568851000163704,k,0.09536850010044873,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,5,5,2,j,0.07108729996252805,None,2,5,5,1,,,,,3.3918954000109807,,,,,,,,,3.3839044000487775,3.3918954000109807,3.3918954000109807,3.3918954000109807,3.3918954000109807,3.4732736999867484,j,0.07108729996252805,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,6,6,3,k,0.08194890001323074,None,3,6,6,1,,,,,3.5127189999911934,,,,,,,,,3.5001600000541657,3.5127189999911934,3.5127189999911934,3.5127189999911934,3.5127189999911934,3.6070235000224784,k,0.08194890001323074,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,7,7,3,j,0.03707409999333322,None,3,7,7,0,,,,,3.641971100005321,,,,,,,,,3.6341135000111535,3.641971100005321,3.641971100005321,3.641971100005321,3.641971100005321,3.689976099994965,j,0.03707409999333322,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,8,8,4,k,0.04340660001616925,None,4,8,8,0,,,,,3.72718090005219,,,,,,,,,3.7170564000261948,3.72718090005219,3.72718090005219,3.72718090005219,3.72718090005219,3.7736704000271857,k,0.04340660001616925,None,,,,,,,,748851,001,2025-09-26_07h54.45.248,Priming_gender,,2025.1.1,60.025342710979785,2025-09-26 07h54.49.256536 +0700,
