Male,Female,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
พิสิฐ,ปัทมา,0,0,0,j,0.7254175998969004,None,0,0,0,9,0.024107699980959296,,0.01647509995382279,0.024107699980959296,0.024107699980959296,0.024107699980959296,0.8267107999417931,j,0.7254175998969004,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
กฤษณะ,กาญจนา,1,1,0,k,0.7154445999767631,None,0,1,1,0,0.8322831999976188,,0.826818999950774,0.8322831999976188,0.8322831999976188,0.8322831999976188,1.5590335000306368,k,0.7154445999767631,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
ธนพล,วาสนา,2,2,0,k,0.39408669993281364,None,0,2,2,2,1.5753361999522895,,1.5592743000015616,1.5753361999522895,1.5753361999522895,1.5753361999522895,1.9747246999759227,k,0.39408669993281364,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
ศักดิ์สิทธิ์,สุนิสา,3,3,0,k,0.17542800004594028,None,0,3,3,8,1.99159360001795,,1.9748580999439582,1.99159360001795,1.99159360001795,1.99159360001795,2.174559799954295,k,0.17542800004594028,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
ภูมิพัฒน์,จิตติมา,4,4,0,k,0.14231819997075945,None,0,4,4,6,2.1906016999855638,,2.1746819999534637,2.1906016999855638,2.1906016999855638,2.1906016999855638,2.3409728000406176,k,0.14231819997075945,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
ชัยวัฒน์,ศิริพร,5,5,0,j,0.12900219997391105,None,0,5,5,4,2.3582473000278696,,2.341206199955195,2.3582473000278696,2.3582473000278696,2.3582473000278696,2.491423500003293,j,0.12900219997391105,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
ปริญญา,อาภรณ์,6,6,0,j,0.1310061999829486,None,0,6,6,5,2.5071136000333354,,2.4916053999913856,2.5071136000333354,2.5071136000333354,2.5071136000333354,2.6424728999845684,j,0.1310061999829486,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
วรพล,วรรณา,7,7,0,j,0.1045472000259906,None,0,7,7,7,2.657613000017591,,2.642663100035861,2.657613000017591,2.657613000017591,2.657613000017591,2.774547899956815,j,0.1045472000259906,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
อรรถพล,สุพัตรา,8,8,0,j,0.06365270004607737,None,0,8,8,3,2.7910817000083625,,2.7748328000307083,2.7910817000083625,2.7910817000083625,2.7910817000083625,2.857689999975264,j,0.06365270004607737,None,769000,001,2025-09-25_14h22.45.931,Priming_gender,,2025.1.1,59.78601388443096,2025-09-25 14h22.51.555660 +0700,
นเรศ,พิมพ์ใจ,9,9,0,,,,0,9,9,1,2.874867600039579,,2.857914899941534,2.874867600039579,2.874867600039579,2.874867600039579,,,,,,,,,,,,,
