Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,0,0,0,j,1.477241300046444,None,0,0,0,1,0.036931299953721464,,0.030255099991336465,0.036931299953721464,0.036931299953721464,0.036931299953721464,0.036931299953721464,1.5183447999879718,j,1.477241300046444,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,0,k,0.37651490001007915,None,0,1,1,0,1.5448019999312237,,1.538156699971296,1.5448019999312237,1.5448019999312237,1.5448019999312237,1.5448019999312237,1.9305180999217555,k,0.37651490001007915,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,2,2,1,k,0.7687047000508755,None,1,2,2,0,1.956449499935843,,1.950124999973923,1.956449499935843,1.956449499935843,1.956449499935843,1.956449499935843,2.7314976999768987,k,0.7687047000508755,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,1,k,0.330303099937737,None,1,3,3,1,2.755832599941641,,2.749335099942982,2.755832599941641,2.755832599941641,2.755832599941641,2.755832599941641,3.0981102000223473,k,0.330303099937737,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,4,4,2,k,0.4204812999814749,None,2,4,4,0,3.1208166999276727,,3.114211699925363,3.1208166999276727,3.1208166999276727,3.1208166999276727,3.1208166999276727,3.5479045999236405,k,0.4204812999814749,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,5,5,3,k,0.13327620003838092,None,3,5,5,0,3.5727030999260023,,3.5662068999372423,3.5727030999260023,3.5727030999260023,3.5727030999260023,3.5727030999260023,3.714101599995047,k,0.13327620003838092,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,6,6,4,k,0.14383850002195686,None,4,6,6,0,3.738379599992186,,3.7320246999152005,3.738379599992186,3.738379599992186,3.738379599992186,3.738379599992186,3.898695299983956,k,0.14383850002195686,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,7,7,5,k,0.20673500001430511,None,5,7,7,0,3.9222020999295637,,3.916550299967639,3.9222020999295637,3.9222020999295637,3.9222020999295637,3.9222020999295637,4.132151199970394,k,0.20673500001430511,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,2,k,0.10984759998973459,None,2,8,8,1,4.157031500013545,,4.1505052000284195,4.157031500013545,4.157031500013545,4.157031500013545,4.157031500013545,4.281525900005363,k,0.10984759998973459,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,9,9,6,j,0.15104499994777143,None,6,9,9,0,4.306556999916211,,4.299412299995311,4.306556999916211,4.306556999916211,4.306556999916211,4.306556999916211,4.464765599928796,j,0.15104499994777143,None,785926,001,2025-09-25_16h47.25.167,Priming_gender,,2025.1.1,60.357898206155156,2025-09-25 16h47.30.449762 +0700,
