Male,Female,Image,Name,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,men_pic.started,female_pic_2.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
ภูมิพัฒน์,จิตติมา,None,ภูมิพัฒน์,0,0,0,k,0.8745055999606848,None,0,0,0,6,0.036578800063580275,,0.024805600056424737,0.036578800063580275,0.036578800063580275,0.036578800063580275,0.036578800063580275,0.036578800063580275,0.036578800063580275,0.9225649000145495,k,0.8745055999606848,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,ศิริพร,1,1,0,j,0.5994751000544056,None,0,1,1,14,0.9344464000314474,,0.9264452999923378,0.9344464000314474,0.9344464000314474,0.9344464000314474,0.9344464000314474,0.9344464000314474,0.9344464000314474,1.5492211000528187,j,0.5994751000544056,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,จิตติมา,2,2,0,j,0.5266421999549493,None,0,2,2,16,1.5649189000250772,,1.553893500007689,1.5649189000250772,1.5649189000250772,1.5649189000250772,1.5649189000250772,1.5649189000250772,1.5649189000250772,2.0984535000752658,j,0.5266421999549493,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
วรพล,วรรณา,None,วรพล,3,3,0,k,0.6125809999648482,None,0,3,3,7,2.1146990000270307,,2.1022646999917924,2.1146990000270307,2.1146990000270307,2.1146990000270307,2.1146990000270307,2.1146990000270307,2.1146990000270307,2.73154720000457,k,0.6125809999648482,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
ชัยวัฒน์,ศิริพร,None,ชัยวัฒน์,4,4,0,k,0.7285064000170678,None,0,4,4,4,2.748413600027561,,2.7353247000137344,2.748413600027561,2.748413600027561,2.748413600027561,2.748413600027561,2.748413600027561,2.748413600027561,3.4804120999760926,k,0.7285064000170678,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,สุนิสา,5,5,0,j,0.6351112000411376,None,0,5,5,18,3.499005699995905,,3.48438709997572,3.499005699995905,3.499005699995905,3.499005699995905,3.499005699995905,3.499005699995905,3.499005699995905,4.149282400030643,j,0.6351112000411376,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,กาญจนา,6,6,0,j,0.3983449999941513,None,0,6,6,10,4.165656100027263,,4.1540993000380695,4.165656100027263,4.165656100027263,4.165656100027263,4.165656100027263,4.165656100027263,4.165656100027263,4.5654757000738755,j,0.3983449999941513,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,7,7,0,k,0.5651245000772178,None,0,7,7,0,4.582555999979377,,4.572464600089006,4.582555999979377,4.582555999979377,4.582555999979377,4.582555999979377,4.582555999979377,4.582555999979377,5.149261199985631,k,0.5651245000772178,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
None,None,None,ปัทมา,8,8,0,j,0.5852650000015274,None,0,8,8,19,5.165188900078647,,5.154071300057694,5.165188900078647,5.165188900078647,5.165188900078647,5.165188900078647,5.165188900078647,5.165188900078647,5.765045600011945,j,0.5852650000015274,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
พิสิฐ,ปัทมา,None,พิสิฐ,9,9,0,k,0.5604400000302121,None,0,9,9,9,5.783040200010873,,5.768007299979217,5.783040200010873,5.783040200010873,5.783040200010873,5.783040200010873,5.783040200010873,5.783040200010873,6.348008200060576,k,0.5604400000302121,None,811533,001,2025-09-25_15h22.37.497,Priming_gender,,2025.1.1,60.806611879586576,2025-09-25 15h22.40.056232 +0700,
