Male,Female,Image,Name,ImagePriming,NamePriming,ImageTrig,NameTrig,Trig,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,WOMAN_3_desc.started,name_2.started,pic_2.started,key_resp_3.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008248499943874776,0.021243899944238365,0.021243899944238365,56.8229017999256,space,56.79041290003806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,0,0,0,j,0.8034229999175295,None,,,,0,0,0,0,,,,,56.87024229997769,,,,,,,,,56.86088980000932,56.87024229997769,56.87024229997769,56.87024229997769,56.87024229997769,57.68181129998993,j,0.8034229999175295,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,1,1,1,k,0.1416474999859929,None,,,,1,1,1,0,,,,,57.7180591999786,,,,,,,,,57.710451799910516,57.7180591999786,57.7180591999786,57.7180591999786,57.7180591999786,57.86498479999136,k,0.1416474999859929,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,2,2,0,j,0.09527370007708669,None,,,,0,2,2,1,,,,,57.89941309997812,,,,,,,,,57.89169650000986,57.89941309997812,57.89941309997812,57.89941309997812,57.89941309997812,57.99888159998227,j,0.09527370007708669,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,3,3,1,k,0.10640050005167723,None,,,,1,3,3,1,,,,,58.034763199975714,,,,,,,,,58.027333299978636,58.034763199975714,58.034763199975714,58.034763199975714,58.034763199975714,58.14869079994969,k,0.10640050005167723,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,4,4,2,j,0.03218009998090565,None,,,,2,4,4,1,,,,,58.18491059995722,,,,,,,,,58.17664779990446,58.18491059995722,58.18491059995722,58.18491059995722,58.18491059995722,58.23309909994714,j,0.03218009998090565,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,5,5,2,k,0.08573310007341206,None,,,,2,5,5,0,,,,,58.27060069993604,,,,,,,,,58.26186829991639,58.27060069993604,58.27060069993604,58.27060069993604,58.27060069993604,58.36561899993103,k,0.08573310007341206,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,6,6,3,j,0.02805700001772493,None,,,,3,6,6,1,,,,,58.40336459991522,,,,,,,,,58.395041699986905,58.40336459991522,58.40336459991522,58.40336459991522,58.40336459991522,58.43300369998906,j,0.02805700001772493,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,7,7,4,k,0.07319410005584359,None,,,,4,7,7,1,,,,,58.472644399967976,,,,,,,,,58.46320839994587,58.472644399967976,58.472644399967976,58.472644399967976,58.472644399967976,58.55033120000735,k,0.07319410005584359,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,8,8,5,j,0.020872100023552775,None,,,,5,8,8,1,,,,,58.58787809999194,,,,,,,,,58.57895369990729,58.58787809999194,58.58787809999194,58.58787809999194,58.58787809999194,58.61598779994529,j,0.020872100023552775,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,9,9,6,k,0.06427620002068579,None,,,,6,9,9,1,,,,,58.65304969996214,,,,,,,,,58.6441169999307,58.65304969996214,58.65304969996214,58.65304969996214,58.65304969996214,58.73373639991041,k,0.06427620002068579,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,10,10,7,j,0.030600800062529743,None,,,,7,10,10,1,,,,,58.769376699929126,,,,,,,,,58.761585999978706,58.769376699929126,58.769376699929126,58.769376699929126,58.769376699929126,58.81691839999985,j,0.030600800062529743,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,11,11,3,k,0.08958410006016493,None,,,,3,11,11,0,,,,,58.85437009995803,,,,,,,,,58.845437299925834,58.85437009995803,58.85437009995803,58.85437009995803,58.85437009995803,58.948695799917914,k,0.08958410006016493,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,51,101,12,12,8,j,0.007014700095169246,None,,,,8,12,12,1,,,,,58.985450099920854,,,,,,,,,58.976847099955194,58.985450099920854,58.985450099920854,58.985450099920854,58.985450099920854,58.99870489991736,j,0.007014700095169246,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,13,13,4,j,0.13135300006251782,None,,,,4,13,13,0,,,,,59.03517369995825,,,,,,,,,59.02688539994415,59.03517369995825,59.03517369995825,59.03517369995825,59.03517369995825,59.1672380999662,j,0.13135300006251782,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,50,100,14,14,5,j,0.16255130001809448,None,,,,5,14,14,0,,,,,59.203752500005066,,,,,,,,,59.19554109999444,59.203752500005066,59.203752500005066,59.203752500005066,59.203752500005066,59.3675967999734,j,0.16255130001809448,None,,,,,,,,,,,,,,,,,,,,,835506,001,2025-09-26_10h26.02.478,Priming_gender,,2025.1.1,60.25439403867246,2025-09-26 10h26.23.904692 +0700,
