Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.008517200010828674,0.02903680002782494,0.02903680002782494,0.5339213999686763,space,0.4887188000138849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,j,0.6288229000056162,None,,,,0,0,0,0,,,,,0.5878770999843255,,,,,,,,,0.5760909999953583,0.5878770999843255,0.5878770999843255,0.5878770999843255,0.5878770999843255,1.2273792999330908,j,0.6288229000056162,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,1,k,0.07761839998420328,None,,,,1,1,1,0,,,,,1.2626619000220671,,,,,,,,,1.2542146999621764,1.2626619000220671,1.2626619000220671,1.2626619000220671,1.2626619000220671,1.344041100004688,k,0.07761839998420328,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,2,2,2,j,0.08447989996057004,None,,,,2,2,2,0,,,,,1.3781557999318466,,,,,,,,,1.3703760999487713,1.3781557999318466,1.3781557999318466,1.3781557999318466,1.3781557999318466,1.4781732999254018,j,0.08447989996057004,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,0,k,0.011637100018560886,None,,,,0,3,3,1,,,,,1.512699699960649,,,,,,,,,1.5047189999604598,1.512699699960649,1.512699699960649,1.512699699960649,1.512699699960649,1.5263345999410376,k,0.011637100018560886,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,4,4,1,j,0.06109370000194758,None,,,,1,4,4,1,,,,,1.5613527999958023,,,,,,,,,1.5533987999660894,1.5613527999958023,1.5613527999958023,1.5613527999958023,1.5613527999958023,1.6266788999782875,j,0.06109370000194758,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,2,k,0.05918590002693236,None,,,,2,5,5,1,,,,,1.6602225999813527,,,,,,,,,1.6526667999569327,1.6602225999813527,1.6602225999813527,1.6602225999813527,1.6602225999813527,1.7262379999738187,k,0.05918590002693236,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,3,j,0.015851199976168573,None,,,,3,6,6,1,,,,,1.7610617999453098,,,,,,,,,1.7524496000260115,1.7610617999453098,1.7610617999453098,1.7610617999453098,1.7610617999453098,1.7931440999964252,j,0.015851199976168573,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,7,7,3,k,0.04625719995237887,None,,,,3,7,7,0,,,,,1.828850399935618,,,,,,,,,1.8211231000022963,1.828850399935618,1.828850399935618,1.828850399935618,1.828850399935618,1.87686079996638,k,0.04625719995237887,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,8,8,4,j,0.02177390002179891,None,,,,4,8,8,0,,,,,1.910415199934505,,,,,,,,,1.9032344999723136,1.910415199934505,1.910415199934505,1.910415199934505,1.910415199934505,1.9433123000198975,j,0.02177390002179891,None,,,,,,,,,,,,,,,,,,,,878070,001,2025-09-25_17h22.46.296,Priming_gender,,2025.1.1,59.86034578125833,2025-09-25 17h23.22.081020 +0700,
