Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,MAN_3_desc.started,WOMAN_3.started,name_2.started,name_serialPort.started,key_resp_3.started,name_serialPort.stopped,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.008936199941672385,0.01876579993404448,0.01876579993404448,0.6342413999373093,space,0.6137774999951944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,0,0,0,j,0.2811331999255344,None,,,,0,0,0,1,,,,,0.6871967000188306,,,,,,,,,0.6776901000412181,0.6871967000188306,0.6871967000188306,0.6871967000188306,0.6871967000188306,0.9819554999703541,j,0.2811331999255344,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,1,1,0,k,0.09410340001340955,None,,,,0,1,1,0,,,,,1.0196181000210345,,,,,,,,,1.0113806000445038,1.0196181000210345,1.0196181000210345,1.0196181000210345,1.0196181000210345,1.1159929999848828,k,0.09410340001340955,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,1,j,0.01754639996215701,None,,,,1,2,2,1,,,,,1.1554156999336556,,,,,,,,,1.146336399950087,1.1554156999336556,1.1554156999336556,1.1554156999336556,1.1554156999336556,1.185151300043799,j,0.01754639996215701,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,2,k,0.0369573999196291,None,,,,2,3,3,1,,,,,1.224276499939151,,,,,,,,,1.2155845999950543,1.224276499939151,1.224276499939151,1.224276499939151,1.224276499939151,1.2663983999518678,k,0.0369573999196291,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,4,4,1,j,0.033412400051020086,None,,,,1,4,4,0,,,,,1.3011844999855384,,,,,,,,,1.2926642999518663,1.3011844999855384,1.3011844999855384,1.3011844999855384,1.3011844999855384,1.3507101000286639,j,0.033412400051020086,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,3,k,0.031009300029836595,None,,,,3,5,5,1,,,,,1.384839899954386,,,,,,,,,1.3767843999667093,1.384839899954386,1.384839899954386,1.384839899954386,1.384839899954386,1.433223900035955,k,0.031009300029836595,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,6,6,2,j,0.027349699987098575,None,,,,2,6,6,0,,,,,1.4669421999715269,,,,,,,,,1.4594987999880686,1.4669421999715269,1.4669421999715269,1.4669421999715269,1.4669421999715269,1.499757400015369,j,0.027349699987098575,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,7,7,4,k,0.043882900034077466,None,,,,4,7,7,1,,,,,1.5341280000284314,,,,,,,,,1.525950999930501,1.5341280000284314,1.5341280000284314,1.5341280000284314,1.5341280000284314,1.5821167000103742,k,0.043882900034077466,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,8,8,3,j,0.04929730005096644,None,,,,3,8,8,0,,,,,1.6185020999982953,,,,,,,,,1.6106295000063255,1.6185020999982953,1.6185020999982953,1.6185020999982953,1.6185020999982953,1.6837738000322133,j,0.04929730005096644,None,,,,,,,,,,,,,,,,,,,,,,927729,001,2025-09-25_17h26.12.014,Priming_gender,,2025.1.1,60.38249900868263,2025-09-25 17h26.15.215412 +0700,
