Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_Instruction.started,instruction_slide.started,instruction_continue.started,training_Instruction.stopped,instruction_continue.keys,instruction_continue.rt,instruction_continue.duration,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_instruction.started,instruction_slide_2.started,instruction_continue_2.started,priming_instruction.stopped,instruction_continue_2.keys,instruction_continue_2.rt,instruction_continue_2.duration,priming_block.started,MAN_3.started,WOMAN_3.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.008695899974554777,0.020467899972572923,0.020467899972572923,0.6747328999917954,space,0.6386288000503555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,j,1.6624750000191852,None,,,,0,0,0,0,,,,,0.702454200014472,,,,,,,,,0.6965977000072598,0.702454200014472,0.702454200014472,0.702454200014472,0.702454200014472,2.369444000069052,j,1.6624750000191852,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,1,1,0,k,0.18851430003996938,None,,,,0,1,1,1,,,,,2.3936044999863952,,,,,,,,,2.387688899994828,2.3936044999863952,2.3936044999863952,2.3936044999863952,2.3936044999863952,2.585774700040929,k,0.18851430003996938,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,2,2,1,k,0.15507899993099272,None,,,,1,2,2,0,,,,,2.609011200023815,,,,,,,,,2.603579799993895,2.609011200023815,2.609011200023815,2.609011200023815,2.609011200023815,2.7693048000801355,k,0.15507899993099272,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,3,3,1,k,0.1309756999835372,None,,,,1,3,3,1,,,,,2.7950364999705926,,,,,,,,,2.7873462999705225,2.7950364999705926,2.7950364999705926,2.7950364999705926,2.7950364999705926,2.936160600045696,k,0.1309756999835372,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,4,4,2,k,0.1279538000235334,None,,,,2,4,4,1,,,,,2.959928800002672,,,,,,,,,2.954087799997069,2.959928800002672,2.959928800002672,2.959928800002672,2.959928800002672,3.089131199987605,k,0.1279538000235334,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,5,5,2,j,0.13180360000114888,None,,,,2,5,5,0,,,,,3.1101075999904424,,,,,,,,,3.105121299973689,3.1101075999904424,3.1101075999904424,3.1101075999904424,3.1101075999904424,3.2527742000529543,j,0.13180360000114888,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,6,6,3,k,0.14534239994827658,None,,,,3,6,6,0,,,,,3.275191599968821,,,,,,,,,3.2688576000509784,3.275191599968821,3.275191599968821,3.275191599968821,3.275191599968821,3.436288099968806,k,0.14534239994827658,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,7,7,3,j,0.11292630003299564,None,,,,3,7,7,1,,,,,3.45877680007834,,,,,,,,,3.453455700073391,3.45877680007834,3.45877680007834,3.45877680007834,3.45877680007834,3.5867242000531405,j,0.11292630003299564,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,8,8,4,k,0.1498907000059262,None,,,,4,8,8,0,,,,,3.6099263000069186,,,,,,,,,3.604660400073044,3.6099263000069186,3.6099263000069186,3.6099263000069186,3.6099263000069186,3.769918499980122,k,0.1498907000059262,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,9,9,4,j,0.1128071000566706,None,,,,4,9,9,1,,,,,3.7945086000254378,,,,,,,,,3.7881569999735802,3.7945086000254378,3.7945086000254378,3.7945086000254378,3.7945086000254378,3.9198895000154153,j,0.1128071000566706,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,10,10,5,k,0.15607929998077452,None,,,,5,10,10,0,,,,,3.943694300018251,,,,,,,,,3.9375141999917105,3.943694300018251,3.943694300018251,3.943694300018251,3.943694300018251,4.102956600021571,k,0.15607929998077452,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,11,11,6,j,0.12708979996386915,None,,,,6,11,11,0,,,,,4.126476400066167,,,,,,,,,4.120743500068784,4.126476400066167,4.126476400066167,4.126476400066167,4.126476400066167,4.269387700012885,j,0.12708979996386915,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,12,12,5,k,0.16838889999780804,None,,,,5,12,12,1,,,,,4.293280599988066,,,,,,,,,4.287889100029133,4.293280599988066,4.293280599988066,4.293280599988066,4.293280599988066,4.4692985999863595,k,0.16838889999780804,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,13,13,6,k,0.13519579998683184,None,,,,6,13,13,1,,,,,4.490822999970987,,,,,,,,,4.485099800047465,4.490822999970987,4.490822999970987,4.490822999970987,4.490822999970987,4.636862899991684,k,0.13519579998683184,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,14,14,7,k,0.1307089999318123,None,,,,7,14,14,1,,,,,4.660007399972528,,,,,,,,,4.6549387000268325,4.660007399972528,4.660007399972528,4.660007399972528,4.660007399972528,4.8024771000491455,k,0.1307089999318123,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,15,15,7,k,0.13067520002368838,None,,,,7,15,15,0,,,,,4.826126000029035,,,,,,,,,4.820650100009516,4.826126000029035,4.826126000029035,4.826126000029035,4.826126000029035,4.969977500033565,k,0.13067520002368838,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,16,16,8,k,0.11640739999711514,None,,,,8,16,16,0,,,,,4.993067800067365,,,,,,,,,4.987829099991359,4.993067800067365,4.993067800067365,4.993067800067365,4.993067800067365,5.119070800021291,k,0.11640739999711514,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,17,17,8,k,0.11258829990401864,None,,,,8,17,17,1,,,,,5.142955700051971,,,,,,,,,5.136592600028962,5.142955700051971,5.142955700051971,5.142955700051971,5.142955700051971,5.269189000013284,k,0.11258829990401864,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,18,18,9,j,0.13474860007409006,None,,,,9,18,18,0,,,,,5.292475200025365,,,,,,,,,5.287320500006899,5.292475200025365,5.292475200025365,5.292475200025365,5.292475200025365,5.436700000078417,j,0.13474860007409006,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,19,19,9,j,0.13257879996672273,None,,,,9,19,19,1,,,,,5.459854000015184,,,,,,,,,5.454520000028424,5.459854000015184,5.459854000015184,5.459854000015184,5.459854000015184,5.602649700012989,j,0.13257879996672273,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,20,20,10,j,0.1265026000328362,None,,,,10,20,20,0,,,,,5.626531500020064,,,,,,,,,5.620594199979678,5.626531500020064,5.626531500020064,5.626531500020064,5.626531500020064,5.7704727000091225,j,0.1265026000328362,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,21,21,10,j,0.14968579995911568,None,,,,10,21,21,1,,,,,5.795629700063728,,,,,,,,,5.788382100057788,5.795629700063728,5.795629700063728,5.795629700063728,5.795629700063728,5.952287800027989,j,0.14968579995911568,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,22,22,11,j,0.16092970001045614,None,,,,11,22,22,1,,,,,5.975768300006166,,,,,,,,,5.970362700056285,5.975768300006166,5.975768300006166,5.975768300006166,5.975768300006166,6.152525100042112,j,0.16092970001045614,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,23,23,12,j,0.13760159991215914,None,,,,12,23,23,1,,,,,6.176753700012341,,,,,,,,,6.171259899972938,6.176753700012341,6.176753700012341,6.176753700012341,6.176753700012341,6.319532199995592,j,0.13760159991215914,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,24,24,11,j,0.20071149989962578,None,,,,11,24,24,0,,,,,6.34229790000245,,,,,,,,,6.337160299997777,6.34229790000245,6.34229790000245,6.34229790000245,6.34229790000245,6.553564600064419,j,0.20071149989962578,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,25,25,13,j,0.19113020005170256,None,,,,13,25,25,1,,,,,6.576678100042045,,,,,,,,,6.571571600041352,6.576678100042045,6.576678100042045,6.576678100042045,6.576678100042045,6.769109699991532,j,0.19113020005170256,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,26,26,12,k,0.22313369996845722,None,,,,12,26,26,0,,,,,6.792862100061029,,,,,,,,,6.787677600048482,6.792862100061029,6.792862100061029,6.792862100061029,6.792862100061029,7.01901040005032,k,0.22313369996845722,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,27,27,14,k,0.2255162000656128,None,,,,14,27,27,1,,,,,7.042902200017124,,,,,,,,,7.037009499967098,7.042902200017124,7.042902200017124,7.042902200017124,7.042902200017124,7.2702037000563,k,0.2255162000656128,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,28,28,13,k,0.28174409992061555,None,,,,13,28,28,0,,,,,7.294221600051969,,,,,,,,,7.287759299972095,7.294221600051969,7.294221600051969,7.294221600051969,7.294221600051969,7.586441399995238,k,0.28174409992061555,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,29,29,14,k,0.7411223999224603,None,,,,14,29,29,0,,,,,7.61008670006413,,,,,,,,,7.604593300027773,7.61008670006413,7.61008670006413,7.61008670006413,7.61008670006413,8.352596700075082,k,0.7411223999224603,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,30,30,15,k,0.437935599940829,None,,,,15,30,30,0,,,,,8.375764099997468,,,,,,,,,8.370493200025521,8.375764099997468,8.375764099997468,8.375764099997468,8.375764099997468,8.819099900079891,k,0.437935599940829,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,31,31,15,k,0.3490399000002071,None,,,,15,31,31,1,,,,,8.842944200034253,,,,,,,,,8.837573600001633,8.842944200034253,8.842944200034253,8.842944200034253,8.842944200034253,9.201868399977684,k,0.3490399000002071,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,32,32,16,k,1.5661364999832585,None,,,,16,32,32,1,,,,,9.223978699999861,,,,,,,,,9.218920500017703,9.223978699999861,9.223978699999861,9.223978699999861,9.223978699999861,10.802149199997075,k,1.5661364999832585,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,33,33,16,j,0.42006579996086657,None,,,,16,33,33,0,,,,,10.826147600077093,,,,,,,,,10.820191200007685,10.826147600077093,10.826147600077093,10.826147600077093,10.826147600077093,11.252619900042191,j,0.42006579996086657,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,34,34,17,j,0.4810010000364855,None,,,,17,34,34,0,,,,,11.27556880004704,,,,,,,,,11.269712600042112,11.27556880004704,11.27556880004704,11.27556880004704,11.27556880004704,11.769382199971005,j,0.4810010000364855,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,35,35,17,j,0.41259149997495115,None,,,,17,35,35,1,,,,,11.792598300031386,,,,,,,,,11.78748020005878,11.792598300031386,11.792598300031386,11.792598300031386,11.792598300031386,12.218748499988578,j,0.41259149997495115,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,36,36,18,j,0.4227545999456197,None,,,,18,36,36,0,,,,,12.242223700042814,,,,,,,,,12.23652320005931,12.242223700042814,12.242223700042814,12.242223700042814,12.242223700042814,12.66911140002776,j,0.4227545999456197,None,,,,,,,,,,,,,,,,,,,941706,001,2025-09-25_17h13.12.254,Priming_gender,,2025.1.1,59.89411919262844,2025-09-25 17h13.14.548072 +0700,
