Male,Female,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,thisRow.t,notes,training_block_male.started,MAN.started,WOMAN.started,Mname.started,key_resp.started,training_block_male.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,training_block_female.started,MAN_2.started,WOMAN_2.started,Fname.started,key_resp_2.started,training_block_female.stopped,training.key_resp_2.keys,training.key_resp_2.rt,training.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
ธนพล,วาสนา,0,0,0,j,0.3676070000510663,None,k,0.11495550000108778,None,0,0,0,2,0.02180460002273321,,0.015179600100964308,0.02180460002273321,0.02180460002273321,0.02180460002273321,0.02180460002273321,0.3983043000334874,j,0.3676070000510663,None,0.4057540000649169,0.4124367000767961,0.4124367000767961,0.4124367000767961,0.4124367000767961,0.5284043001011014,k,0.11495550000108778,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
ภูมิพัฒน์,จิตติมา,1,1,0,j,0.0950656000059098,None,k,0.08242419990710914,None,0,1,1,6,0.5456826000008732,,0.5371458000736311,0.5456826000008732,0.5456826000008732,0.5456826000008732,0.5456826000008732,0.6451858000364155,j,0.0950656000059098,None,0.6487935000332072,0.6620254000881687,0.6620254000881687,0.6620254000881687,0.6620254000881687,0.7458286000182852,k,0.08242419990710914,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
นเรศ,พิมพ์ใจ,2,2,0,j,0.04995410004630685,None,k,0.0681402999907732,None,0,2,2,1,0.7624886000994593,,0.7500977000454441,0.7624886000994593,0.7624886000994593,0.7624886000994593,0.7624886000994593,0.8288767000194639,j,0.04995410004630685,None,0.8317488000029698,0.8457548000151291,0.8457548000151291,0.8457548000151291,0.8457548000151291,0.9288557000691071,k,0.0681402999907732,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
ชัยวัฒน์,ศิริพร,3,3,0,j,0.049177899956703186,None,k,0.04609890002757311,None,0,3,3,4,0.950240800040774,,0.9352100000251085,0.950240800040774,0.950240800040774,0.950240800040774,0.950240800040774,1.0118091000476852,j,0.049177899956703186,None,1.0123291000491008,1.02894870005548,1.02894870005548,1.02894870005548,1.02894870005548,1.078455000068061,k,0.04609890002757311,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
อรรถพล,สุพัตรา,4,4,0,j,0.05264549993444234,None,k,0.05846559989731759,None,0,4,4,3,1.0954887000843883,,1.083075400092639,1.0954887000843883,1.0954887000843883,1.0954887000843883,1.0954887000843883,1.1617202000925317,j,0.05264549993444234,None,1.1636638999916613,1.1788346000248566,1.1788346000248566,1.1788346000248566,1.1788346000248566,1.2457494999980554,k,0.05846559989731759,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
พิสิฐ,ปัทมา,5,5,0,j,0.052547100000083447,None,k,0.06517140008509159,None,0,5,5,9,1.2623946000821888,,1.24866020004265,1.2623946000821888,1.2623946000821888,1.2623946000821888,1.2623946000821888,1.3288945000385866,j,0.052547100000083447,None,1.3340555001050234,1.3456717000808567,1.3456717000808567,1.3456717000808567,1.3456717000808567,1.4120788000291213,k,0.06517140008509159,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
วรพล,วรรณา,6,6,0,j,0.058489899965934455,None,k,0.07992389996070415,None,0,6,6,7,1.4288009000010788,,1.4129588000942022,1.4288009000010788,1.4288009000010788,1.4288009000010788,1.4288009000010788,1.495391400065273,j,0.058489899965934455,None,1.4982377000851557,1.5125113000394776,1.5125113000394776,1.5125113000394776,1.5125113000394776,1.5948455000761896,k,0.07992389996070415,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
กฤษณะ,กาญจนา,7,7,0,j,0.04769729997497052,None,k,0.07259760005399585,None,0,7,7,0,1.6119449000107124,,1.6012701001018286,1.6119449000107124,1.6119449000107124,1.6119449000107124,1.6119449000107124,1.6616582000860944,j,0.04769729997497052,None,1.6654654000885785,1.6788897000951692,1.6788897000951692,1.6788897000951692,1.6788897000951692,1.7618011001031846,k,0.07259760005399585,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
ศักดิ์สิทธิ์,สุนิสา,8,8,0,j,0.036743300035595894,None,k,0.05996630003210157,None,0,8,8,8,1.779717200086452,,1.7643962000729516,1.779717200086452,1.779717200086452,1.779717200086452,1.779717200086452,1.8291673000203446,j,0.036743300035595894,None,1.8298542000120506,1.8452853000489995,1.8452853000489995,1.8452853000489995,1.8452853000489995,1.9118954000296071,k,0.05996630003210157,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
ปริญญา,อาภรณ์,9,9,0,j,0.05290680006146431,None,k,0.06513949995860457,None,0,9,9,5,1.9280745000578463,,1.9124220000812784,1.9280745000578463,1.9280745000578463,1.9280745000578463,1.9280745000578463,1.994873300078325,j,0.05290680006146431,None,1.9955632000928745,2.0115594000089914,2.0115594000089914,2.0115594000089914,2.0115594000089914,2.0794327000621706,k,0.06513949995860457,None,995771,001,2025-09-25_15h00.23.374,Priming_gender,,2025.1.1,60.0367665301919,2025-09-25 15h00.25.738049 +0700,
