thisRow.t,notes,Name,Face,NameGender,ResponseKey,RT,Timeout,participant,session,
,,พอใจ,face1_m.png,f,None,None,Yes,Pilot03,002,
,,สมหมาย,face4_m.png,m,j,0.7169899000145961,No,Pilot03,002,
,,สมปอง,face10_w.png,m,j,0.1668035000038799,No,Pilot03,002,
,,ทับทิม,face3_w.png,f,k,0.08421329999691807,No,Pilot03,002,
,,สมหมาย,face9_m.png,m,j,0.10098680001101457,No,Pilot03,002,
,,สมชาย,face7_m.png,m,j,0.15106469998136163,No,Pilot03,002,
,,ดวงแก้ว,face8_w.png,f,k,0.11709849999169819,No,Pilot03,002,
,,วันเพ็ญ,face4_w.png,f,k,None,Yes,Pilot03,002,
,,สายใจ,face9_m.png,f,k,0.1837525999872014,No,Pilot03,002,
,,มานะ,face1_m.png,m,j,0.08384150001802482,No,Pilot03,002,
,,สมปอง,face9_w.png,m,j,0.06678690001717769,No,Pilot03,002,
,,พิกุล,face7_m.png,f,k,0.15040260000387207,No,Pilot03,002,
,,แก้วตา,face9_m.png,f,k,None,Yes,Pilot03,002,
,,ฟ้าใส,face5_m.png,f,k,0.13357840001117438,No,Pilot03,002,
,,บุญชู,face3_w.png,m,j,0.08373220000066794,No,Pilot03,002,
,,วันเพ็ญ,face5_m.png,f,k,0.10021669999696314,No,Pilot03,002,
,,สมหญิง,face8_w.png,f,k,0.13424680000753142,No,Pilot03,002,
,,แก้วตา,face3_w.png,f,k,0.3174775000079535,No,Pilot03,002,
,,ประเสริฐ,face3_w.png,m,j,0.1670573000155855,No,Pilot03,002,
,,พิกุล,face8_w.png,f,k,0.2668930000218097,No,Pilot03,002,
,,วันเพ็ญ,face6_m.png,f,k,0.0841260000015609,No,Pilot03,002,
,,ดวงแก้ว,face6_m.png,f,k,0.200259700010065,No,Pilot03,002,
,,มั่นคง,face3_w.png,m,j,0.05019190002349205,No,Pilot03,002,
,,สมหญิง,face9_m.png,f,k,0.217330999992555,No,Pilot03,002,
,,พอใจ,face9_m.png,f,k,1.20046310001635,No,Pilot03,002,
,,สายใจ,face4_m.png,f,k,0.2170983999967575,No,Pilot03,002,
,,ฟ้าใส,face4_w.png,f,k,0.3345008000032976,No,Pilot03,002,
,,ประทีป,face6_w.png,m,j,0.33370459999423474,No,Pilot03,002,
,,ประเสริฐ,face5_w.png,m,j,0.5502114999981131,No,Pilot03,002,
,,ฟ้าใส,face1_m.png,f,k,0.18432539998320863,No,Pilot03,002,
,,วันเพ็ญ,face3_m.png,f,k,0.06719619999057613,No,Pilot03,002,
,,ใบเฟิร์น,face10_w.png,f,k,0.6500851000018883,No,Pilot03,002,
,,ดวงแก้ว,face5_w.png,f,k,0.20030759999644943,No,Pilot03,002,
,,ฟ้าใส,face2_m.png,f,k,0.35112710000248626,No,Pilot03,002,
,,พอใจ,face7_w.png,f,k,0.16679889999795705,No,Pilot03,002,
,,ชูศักดิ์,face2_w.png,m,j,0.16722659999504685,No,Pilot03,002,
,,พิกุล,face3_m.png,f,k,0.18361440001172014,No,Pilot03,002,
,,พิกุล,face7_w.png,f,k,0.3835591000097338,No,Pilot03,002,
,,ทองดี,face3_w.png,m,j,0.11695769999641925,No,Pilot03,002,
,,ทับทิม,face1_m.png,f,k,0.15034209997975267,No,Pilot03,002,
,,บุญชู,face7_w.png,m,j,0.483735899993917,No,Pilot03,002,
,,สมปอง,face6_m.png,m,j,0.11708269998780452,No,Pilot03,002,
,,ใบเฟิร์น,face7_w.png,f,k,0.1668053999892436,No,Pilot03,002,
,,มานะ,face5_w.png,m,j,0.5335352000256535,No,Pilot03,002,
,,มานะ,face6_m.png,m,j,None,Yes,Pilot03,002,
,,มานะ,face6_w.png,m,j,None,Yes,Pilot03,002,
,,สมปอง,face5_m.png,m,j,0.11713330002385192,No,Pilot03,002,
