thisRow.t,notes,Name,Face,NameGender,ResponseKey,RT,Timeout,participant,session,
,,ประเสริฐ,face3_m.png,m,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face8_m.png,f,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face7_m.png,f,j,None,Yes,testwoi,001,
,,มั่นคง,face5_w.png,m,j,None,Yes,testwoi,001,
,,ฟ้าใส,face7_w.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face6_m.png,m,j,None,Yes,testwoi,001,
,,สมหมาย,face7_w.png,m,j,None,Yes,testwoi,001,
,,ทองดี,face8_m.png,m,j,None,Yes,testwoi,001,
,,ฟ้าใส,face8_m.png,f,j,None,Yes,testwoi,001,
,,ฟ้าใส,face6_m.png,f,k,None,Yes,testwoi,001,
,,ทับทิม,face1_m.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face10_m.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face8_w.png,m,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face1_m.png,f,j,None,Yes,testwoi,001,
,,พอใจ,face6_w.png,f,j,None,Yes,testwoi,001,
,,พอใจ,face1_w.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face9_m.png,f,j,0.0019664999999804422,No,testwoi,001,
,,พิกุล,face4_m.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face10_m.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face10_w.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face9_m.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face1_m.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face9_m.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face7_m.png,f,j,None,Yes,testwoi,001,
,,ประทีป,face4_w.png,m,j,None,Yes,testwoi,001,
,,สมหมาย,face9_w.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face1_w.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face10_w.png,m,j,None,Yes,testwoi,001,
,,แก้วตา,face9_w.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face9_w.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face8_m.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face10_m.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face1_w.png,m,j,None,Yes,testwoi,001,
,,สมหญิง,face8_m.png,f,j,None,Yes,testwoi,001,
,,มั่นคง,face2_m.png,m,j,None,Yes,testwoi,001,
,,ทองดี,face5_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face2_m.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face3_w.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face3_m.png,f,j,None,Yes,testwoi,001,
,,มานะ,face7_w.png,m,j,None,Yes,testwoi,001,
,,ทับทิม,face8_w.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face5_w.png,m,j,None,Yes,testwoi,001,
,,ฟ้าใส,face9_m.png,f,j,None,Yes,testwoi,001,
,,สมปอง,face2_m.png,m,j,None,Yes,testwoi,001,
,,สมชาย,face8_m.png,m,j,None,Yes,testwoi,001,
,,สมหญิง,face2_m.png,f,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face7_m.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face5_m.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face3_m.png,m,j,None,Yes,testwoi,001,
,,ฟ้าใส,face8_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face4_m.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face7_m.png,f,j,None,Yes,testwoi,001,
,,สมปอง,face7_m.png,m,j,None,Yes,testwoi,001,
,,มานะ,face1_m.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face10_m.png,m,j,None,Yes,testwoi,001,
,,สมชาย,face8_w.png,m,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face7_m.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face5_w.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face4_w.png,f,j,None,Yes,testwoi,001,
,,มานะ,face6_m.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face6_w.png,m,j,None,Yes,testwoi,001,
,,ชูศักดิ์,face8_w.png,m,j,None,Yes,testwoi,001,
,,สมปอง,face4_m.png,m,j,None,Yes,testwoi,001,
,,พอใจ,face3_w.png,f,j,None,Yes,testwoi,001,
,,บุญชู,face5_m.png,m,j,None,Yes,testwoi,001,
,,ทับทิม,face3_w.png,f,j,None,Yes,testwoi,001,
,,ทองดี,face7_m.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face9_w.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face6_w.png,f,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face3_m.png,f,j,None,Yes,testwoi,001,
,,พอใจ,face2_m.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face4_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face4_w.png,f,j,None,Yes,testwoi,001,
,,สมปอง,face6_m.png,m,j,None,Yes,testwoi,001,
,,สมชาย,face6_w.png,m,j,None,Yes,testwoi,001,
,,บุญชู,face4_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face9_m.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face7_w.png,f,j,None,Yes,testwoi,001,
,,สายใจ,face5_m.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face4_m.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face3_m.png,m,j,0.05028060000000778,No,testwoi,001,
,,ทองดี,face9_m.png,m,j,None,Yes,testwoi,001,
,,ทับทิม,face9_m.png,f,j,None,Yes,testwoi,001,
,,สมปอง,face1_m.png,m,j,None,Yes,testwoi,001,
,,ประทีป,face7_m.png,m,j,None,Yes,testwoi,001,
,,พิกุล,face1_w.png,f,j,None,Yes,testwoi,001,
,,แก้วตา,face4_m.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face1_m.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face7_m.png,m,j,None,Yes,testwoi,001,
,,สมหมาย,face8_w.png,m,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face6_m.png,f,j,None,Yes,testwoi,001,
,,ทับทิม,face2_w.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face2_w.png,f,j,None,Yes,testwoi,001,
,,ใบเฟิร์น,face7_w.png,f,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face1_m.png,f,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face6_w.png,f,j,None,Yes,testwoi,001,
,,มานะ,face1_w.png,m,j,None,Yes,testwoi,001,
,,ประเสริฐ,face4_w.png,m,j,None,Yes,testwoi,001,
,,แก้วตา,face9_m.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face2_m.png,m,j,None,Yes,testwoi,001,
,,มั่นคง,face9_w.png,m,j,None,Yes,testwoi,001,
,,ดวงแก้ว,face2_m.png,f,j,None,Yes,testwoi,001,
,,แก้วตา,face1_w.png,f,j,None,Yes,testwoi,001,
,,สมหญิง,face3_w.png,f,j,None,Yes,testwoi,001,
,,แก้วตา,face3_m.png,f,j,None,Yes,testwoi,001,
,,สมหมาย,face10_w.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face1_m.png,f,j,None,Yes,testwoi,001,
,,สมชาย,face6_m.png,m,j,None,Yes,testwoi,001,
,,วันเพ็ญ,face3_m.png,f,j,None,Yes,testwoi,001,
,,ประเสริฐ,face7_m.png,m,j,None,Yes,testwoi,001,
